"filename", "language", "JavaScript JSX", "JSON", "HTML", "JavaScript", "Markdown", "XML", "PostCSS", "Python", "pip requirements", "comment", "blank", "total"
"/home/stevens/Documents/work/dit-archive/backend/config/database.py", "Python", 0, 0, 0, 0, 0, 0, 0, -20, 0, -5, -5, -30
"/home/stevens/Documents/work/dit-archive/backend/config/system_prompts.py", "Python", 0, 0, 0, 0, 0, 0, 0, -18, 0, -1, -3, -22
"/home/stevens/Documents/work/dit-archive/backend/listeners/listeners.py", "Python", 0, 0, 0, 0, 0, 0, 0, -107, 0, -18, -20, -145
"/home/stevens/Documents/work/dit-archive/backend/main.py", "Python", 0, 0, 0, 0, 0, 0, 0, -67, 0, -15, -18, -100
"/home/stevens/Documents/work/dit-archive/backend/models/pydantic_models.py", "Python", 0, 0, 0, 0, 0, 0, 0, -95, 0, -13, -22, -130
"/home/stevens/Documents/work/dit-archive/backend/models/sql_models.py", "Python", 0, 0, 0, 0, 0, 0, 0, -186, 0, -29, -49, -264
"/home/stevens/Documents/work/dit-archive/backend/requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 0, 0, 0, -145, 0, -1, -146
"/home/stevens/Documents/work/dit-archive/backend/routers/admin.py", "Python", 0, 0, 0, 0, 0, 0, 0, -283, 0, -50, -47, -380
"/home/stevens/Documents/work/dit-archive/backend/routers/admin_submissions.py", "Python", 0, 0, 0, 0, 0, 0, 0, -113, 0, -18, -25, -156
"/home/stevens/Documents/work/dit-archive/backend/routers/analytics.py", "Python", 0, 0, 0, 0, 0, 0, 0, -126, 0, -7, -17, -150
"/home/stevens/Documents/work/dit-archive/backend/routers/auth_and_users.py", "Python", 0, 0, 0, 0, 0, 0, 0, -117, 0, -18, -29, -164
"/home/stevens/Documents/work/dit-archive/backend/routers/dataplace.py", "Python", 0, 0, 0, 0, 0, 0, 0, -140, 0, -41, -32, -213
"/home/stevens/Documents/work/dit-archive/backend/routers/nora.py", "Python", 0, 0, 0, 0, 0, 0, 0, -89, 0, -192, -16, -297
"/home/stevens/Documents/work/dit-archive/backend/routers/projects.py", "Python", 0, 0, 0, 0, 0, 0, 0, -342, 0, -123, -58, -523
"/home/stevens/Documents/work/dit-archive/backend/routers/util_endpoints.py", "Python", 0, 0, 0, 0, 0, 0, 0, -60, 0, -5, -13, -78
"/home/stevens/Documents/work/dit-archive/backend/seeds/seed_admin_users.py", "Python", 0, 0, 0, 0, 0, 0, 0, -57, 0, -5, -8, -70
"/home/stevens/Documents/work/dit-archive/backend/seeds/seed_metadata.py", "Python", 0, 0, 0, 0, 0, 0, 0, -40, 0, -5, -9, -54
